Order;Question;Choice Number;Choice;Result
0112332;Do you seek out Omisha?;2;No;Everyone got to vent sometimes, it's hard to imagine a deity that consumes light and rotation force of the void to bottle up their feelings, but she does have the capability of displaying and understanding emotions. I'm sure she'll sort herself out
01123322;Where will you go next?;1;kitchen;
01123322;Where will you go next?;2;Zahur's Room;toast blah blah blah
011234222;Where will you go next?;1;There's nothing I want to do today;You decide spent your day just admiring the sky and drink tea \n You grabbed some books and read it till the end of the day
011234222;Where will you go next?;2;Karczel's House;
01123422;Where will you go next?;3;Karczel's House;You dressed up in a leather  jacket, A grey turtleneck and grey jeans before going out. You planned to hang out with Karczel today, just incase we want to go out of the neighborhood \n You knocked on her door No replies. You knocked again There comes a weary noise and slow creak from the door "Who is it?" She definitely just woke up "It's me, Samantha, I was wondering if you want to go to the festival today" "What festival?" Karczel sounds a bit more awake, and eyes wide after she took a double check on her phone "O- THAT festival" "Give me 10 mins" \n Karczel comes out with her backpack and comfy clothes, namely a loose T-shirt and long pants \n "I'M READY" \n You both go to the festival by the public transit
01123422xxx;;;;You come back to send Karczel back home
01123422xxx;"Would you like to stay for dinner?";1;Yes;You're starving from all the activities at the festival, and seems like you ate too little from the festival \n Karczel make
01123422xxx;"Would you like to stay for dinner?";2;No;You still feel full from the Festivals snacks \n You say your goodbyes and went back home, it's been quite a day
01123422xxx;"Would you like to stay for dinner?";3;Make the dinner;you make ...

01000000000000000;You've finished your morning run and a refreshing bath, where will you go next?;2;The kitchen;You’ve made yourself a classic sandwich! It’s delicious!
012;You’ve made some extra buttered Toasts out of habit, do you take them with you?;1;Yes;

012;You’ve made some extra buttered Toasts out of habit, do you take them with you?;2;No;

01000000000000000;You've finished your morning run and a refreshing bath, where will you go next?;
00000000000000000;You wake up at … Do you feel like going for a run, like you always do?;2;No;
02;Are you sure?;1;I've changed my mind;
02;Are you sure?;2;Yes;
