Note;Answer;Output
What you want to do;Karczel's House;You dressed up in a leather jacket, a white Pikachu Tee, and grey jeans before going out. \n You planned to hang out with Karczel today, just in case we want to go out of the neighborhood. \n You walked over to the house next to you and knocked on the door. \n No reply. \n You knocked again There comes a tired noise and a slow creak from the door \n "Who is it?" \n ...She definitely just woke up. \n"It's me, Samantha, I was wondering if you want to go to the festival today" \n "What festival?" \n Karczel sounds a bit more awake, and her eyes wide after she took a double check on her phone \n "O- THAT festival" \n "Give me 10 mins" \n Karczel comes out with her backpack and comfy clothes, namely a loose T-shirt and long pants \n "I'M READY" \n You both go to the festival by the public transit\n
What you want to do;Omisha's room;You opened into a room filled with cosmic dust and purplish pieces of furniture \n ---however, the owner of this room is nowhere to be seen. \n You decided to look around in case she brought any critters from outside, again \n There aren't any, thankfully, however, there is \n ... a note? \n What would inconvenience such a deity to left a note in a hurry? \n It says: \n "I needed to clear my mind at a salt lake today, \n crunching has left me burnt out :< \n I'm out of inspirations \n - from The Eliyal Lake" \n
Choose clothing;Karczel's Clothes;You tried to wear the normal ones, but it's stuck, \n Fortunately, they didn't tear. \n You got to wear Karczel's Largest Jacket. \n It was handed down from her dad \n The insides feel like it's always slipping on your skin, but cozy. \n However, there is only your tanktop underneath, so keep that in mind. \n Karczel wears her casual outfit - a T-shirt and pants. \n You drove Karczel to the festival. \n
Choose clothing;Karczel's Handmade Cloth;"Please follow me..." \n Karczel said shyly, yet it felt urgent to do so. \n You followed her to a small room near her bedroom, \n And to your surprise, and shock- \n "Tada...?" \n Karczel tried as hard as she can to make this less awkward... \n But a maid dress on the mannequin is too striking to ignore!!! \n "It's...! It's...!" \n Karczel watches your reaction with anxiety. \n "It's so cute!" \n You can hear Karczel audibly sigh out of relief. \n  "I'm glad that you liked it, I was worried you might think I'm weirder than you thought. \n ....andiwanttoseeyouinamaiddressaswell" \n  "What?" \n "What?" \n "Would you mind wearing it to the place?" \n "Honestly... a Lil bit, but it won't affect my career, so I don't mind! Plus, I really like fluffy skirts" \n You say as you twirl your hips to make the skirt flow. \n Karczel wears her frilled white blouse and black, form-fitting pants, \n Does her hair and wears some hair accessories. \n You drove Karczel to the festival. \n
Choose clothing;Run back to get your own clothes;You ran back to get your own clothes, it took 10 minutes. \n You wear a grey suit with hidden buttons, \n a black t-shirt and matching grey trousers. \n "Oh..." \n Karczel takes a glance at you and back at her attire. \n "I guess I should wear something that matches you as well" \n After a while, Karczel comes out wearing a fancy dress. \n "Whoa! I've never seen that one before!" \n You drove Karczel to the festival. \n
Food;Food1;It was delicious! After you've finished the food, you both went to the empty pathway The tall vintage lamps lit the cobble stone street dimly Karczel took brief steps, turns around and asks - \n
Food;Food2;It was delicious! After you've finished the food, you both went to the empty pathway The tall vintage lamps lit the cobble stone street dimly Karczel took brief steps, turns around and asks - \n
Food;Food3;It was delicious! After you've finished the food, you both went to the empty pathway The tall vintage lamps lit the cobble stone street dimly Karczel took brief steps, turns around and asks - \n
Food;Food4;It was delicious! After you've finished the food, you both went to the empty pathway The tall vintage lamps lit the cobble stone street dimly Karczel took brief steps, turns around and asks - \n
Food;Food5;It was delicious! After you've finished the food, you both went to the empty pathway The tall vintage lamps lit the cobble stone street dimly Karczel took brief steps, turns around and asks - \n
Karczel Dinner;Yes;You're starving from all the activities at the festival, and seems like you ate too little from the festival \n Karczel make an omellete, \n It is edible this time! \n Great progress! \n
Karczel Dinner;No;You still feel full from the Festivals snacks \n You say your goodbyes and went back home, \n It's been quite a day \n
Karczel Dinner;Make the dinner;After you've got the permission from Karczel, You begin to analyze the fridge to find anything to make dinner. \n There's eggs, ham, milk and coconuts. \n You make jiggly omelette with ham, \n along with 2 lid - chopped coconuts. \n It turns out great! \n
Dance;"Yes";You agreed silently, by extending your hand. \n Karczel took your hand, \n and you start to tango, 1, 2, 3, 4, You lead her across the tiles. The fluorescent skirt flutters and changes in brightness as you move along, \n Then! \n You move your hand from the shoulder to the waist \n and swoop her up in your arms from the sides. \n Then, you hold your other hand, intertwined, \n You swerve your free foot backwards, and in that motion, seamlessly push Karczel back up to go on her spin! \n Once she’s done, she smiled heartfully, before running back, and jump high, \n where you catch her by torso, and then secure her by the knee. \n You both were startled from the sound of an explosion - \n - in the sky! \n The festival is officially over! \n "It's time to go home" \n... \nYou drive back home as Karczel looks outside the car window \n Until she eventually fell asleep in the car \n "We're home" \n You gently shake her shoulder to wake her up \n "Good night!" \n You both said your farewells and went on your way home  \n Which is basically next door since you gals are neighbors. \n
Dance;"No";You declined. \n Karczel didn't mind, she just goes. \n One hop, two hops, and a mid-air split \n She then spins and twirls her dress as it glows as it interacts with the wind \n She spins and spins, \n til she reached the border of the street, and observes the reflections of herself, \n panning to the faraway city from the pitch dark canal \n You joined Karczel, crouching down to look on the water as the moon's light reflected on your skin \n "It's a beautiful place" \n Proclaimed Karczel, beaming \n "Let's go, it's getting late" \n As the festival was getting out of sight, you see the fireworks back in the distance \n It's a shame you didn't get the chance to watch it, maybe next year, \n If that festival's still around \n You drive back home as Karczel looks outside the car window \n Until she eventually fell asleep in the car \n "We're home" \n You gently shake her shoulder to wake her up \n "Good night!" \n You both said your farewells and went on your way home \n Which is basically next door since you gals are neighbors \n
Kittens;Yes;You decided to bring the kittens home. \n
Kittens;No;You contact the closest animal care center of this location and wait until they got here.\n Once you know they're in good hands, you drive Omisha home.\n
Bring Omisha home;Yes;You go buy Omisha work/art supplies, and went home, \n since going to where Omisha is took quite a long time \n
Bring Omisha home;No;"Let's take a ride" \n You drive around a nearby town, as Omisha is admiring the view. \n On your left, you can see a pink sky, overlooking the salt sea below, illustrated with brush strokes of wispy clouds. \n On your right, \n There are buildings built into mountains, and many, many bushes \n wait \n is that a kitten? \n
No run;Omisha’s room;You opened into a room filled with cosmic dust and purplish pieces of furniture \n ---however, the owner of this room is nowhere to be seen. \n You decided to look around in case she brought any critters from outside, again \n There aren't any, thankfully, however, there is \n ... a note? \n What would inconvenience such a deity to left a note in a hurry? \n It says: \n "I needed to clear my mind at a salt lake today, \n crunching has left me burnt out :< \n I'm out of inspirations \n - from The Eliyal Lake" \n
No run;Zahur’s room;You knocked on the door, \n Zahur lets you in \n He seems to be working on a painting \n
No run;Just make it when they're up;You decided to not bother them this early in the morning, \n and just prepares your own breakfast \n It's 9 o'clock. \n You've been trying out clothes you rarely have the opputunities to wear, and take a few selfies.
